,Title,Year,Category,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
2328,Doom ,2005.0,Action|Adventure|Horror|Sci-Fi,English,UK,R,113.0,2.35,60000000.0,28031250.0,Andrzej Bartkowiak,Dwayne Johnson,Ben Daniels,Dexter Fletcher,43.0,12000.0,585.0,452.0,13517,0,0.0,88146,814.0,237.0,5.2
2329,Down in the Valley ,2005.0,Drama|Romance|Thriller,English,USA,R,108.0,2.35,8000000.0,568695.0,David Jacobson,Hunter Parrish,Bruce Dern,Rory Culkin,12.0,2000.0,844.0,710.0,3921,412,2.0,16617,110.0,74.0,6.5
2330,Dreamer: Inspired by a True Story ,2005.0,Drama|Family|Sport,English,USA,PG,98.0,2.35,32000000.0,32701088.0,John Gatins,Ken Howard,Freddy Rodríguez,Holmes Osborne,61.0,649.0,579.0,83.0,1400,0,1.0,10018,108.0,75.0,6.9
2331,Duma ,2005.0,Adventure|Drama|Family,English,USA,PG,100.0,1.85,12000000.0,860002.0,Carroll Ballard,Eamonn Walker,Hope Davis,Campbell Scott,19.0,706.0,442.0,393.0,1579,0,0.0,6454,43.0,38.0,7.3
2332,Dungeons & Dragons: Wrath of the Dragon God ,2005.0,Action|Adventure|Fantasy,English,Germany,Not Rated,105.0,1.78,15000000.0,,Gerry Lively,Bruce Payne,Lucy Gaskell,Steven Elder,93.0,179.0,55.0,51.0,363,473,0.0,5018,108.0,26.0,4.9
2333,Edmond ,2005.0,Drama|Thriller,English,USA,R,82.0,1.85,10000000.0,131617.0,Stuart Gordon,Joe Mantegna,Dulé Hill,Jeffrey Combs,216.0,1000.0,922.0,885.0,5761,661,1.0,9971,119.0,79.0,6.3
2334,Elektra ,2005.0,Action|Crime|Fantasy|Thriller,English,Canada,PG-13,100.0,2.35,43000000.0,24407944.0,Rob Bowman,Jennifer Garner,Cary-Hiroyuki Tagawa,Goran Visnjic,38.0,3000.0,1000.0,1000.0,7048,0,0.0,71202,380.0,196.0,4.8
2335,Elizabethtown ,2005.0,Comedy|Drama|Romance,English,USA,PG-13,123.0,1.85,57000000.0,26838389.0,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Judy Greer,488.0,5000.0,4000.0,2000.0,12700,0,0.0,58658,495.0,190.0,6.4
2336,End of the Spear ,2005.0,Adventure|Drama,English,USA,PG-13,108.0,2.35,10000000.0,11703287.0,Jim Hanon,Chase Ellison,Chad Allen,Jack Guzman,2.0,772.0,232.0,30.0,1058,1000,3.0,4360,148.0,47.0,7.0
2337,Fateless ,2005.0,Drama|Romance|War,Hungarian,Hungary,R,134.0,2.35,2500000000.0,195888.0,Lajos Koltai,Marcell Nagy,Péter Fancsikai,Bálint Péntek,45.0,9.0,2.0,0.0,11,607,0.0,5603,45.0,73.0,7.1
2338,Feast ,2005.0,Action|Comedy|Horror|Thriller,English,USA,R,95.0,2.35,3200000.0,,John Gulager,Krista Allen,Eric Dane,Henry Rollins,38.0,164000.0,2000.0,898.0,170118,0,0.0,25542,252.0,130.0,6.4
2339,Fetching Cody ,2005.0,Drama|Fantasy|Romance,English,Canada,,87.0,,1500000.0,,David Ray,Nicole Muñoz,Sarah Lind,Kyla Wise,0.0,199.0,134.0,108.0,596,193,2.0,1232,10.0,16.0,6.8
2340,Fever Pitch ,2005.0,Comedy|Drama|Romance|Sport,English,USA,PG-13,104.0,2.35,30000000.0,42071069.0,Bobby Farrelly,Jimmy Fallon,KaDee Strickland,Ione Skye,101.0,787.0,299.0,223.0,1827,0,1.0,36223,208.0,124.0,6.2
2341,Flightplan ,2005.0,Drama|Mystery|Thriller,English,USA,PG-13,98.0,2.35,55000000.0,89706988.0,Robert Schwentke,Erika Christensen,Michael Irby,Haley Ramm,124.0,931.0,507.0,354.0,2287,0,1.0,126746,600.0,231.0,6.2
2342,Forty Shades of Blue ,2005.0,Drama|Music|Romance,English,USA,R,108.0,1.85,1500000.0,,Ira Sachs,Rip Torn,Jenny O'Hara,Darren E. Burrows,60.0,826.0,189.0,121.0,1240,216,0.0,1134,26.0,39.0,6.0
2343,Four Brothers ,2005.0,Action|Crime|Drama|Mystery|Thriller,English,USA,R,109.0,2.35,45000000.0,74484168.0,John Singleton,Josh Charles,Tony Nappo,Fionnula Flanagan,309.0,1000.0,654.0,482.0,2740,0,3.0,109894,340.0,123.0,6.9
2344,Fun with Dick and Jane ,2005.0,Comedy|Crime,English,USA,PG-13,90.0,2.35,100000000.0,110332737.0,Dean Parisot,John Michael Higgins,Richard Burgi,David Herman,23.0,957.0,550.0,233.0,1997,2000,1.0,110788,258.0,135.0,6.1
2345,Get Rich or Die Tryin' ,2005.0,Biography|Crime|Drama|Music,English,USA,R,117.0,2.35,40000000.0,30981850.0,Jim Sheridan,50 Cent,Bill Duke,Marc John Jefferies,260.0,1000.0,1000.0,441.0,3969,0,0.0,35834,284.0,98.0,5.0
2346,Goal! The Dream Begins ,2005.0,Drama|Romance|Sport,English,USA,PG-13,118.0,2.35,10000000.0,4280577.0,Danny Cannon,Sean Pertwee,Kuno Becker,Stephen Dillane,41.0,722.0,580.0,577.0,2859,0,0.0,50919,114.0,90.0,6.8
2347,"Good Night, and Good Luck. ",2005.0,Biography|Drama|History,English,USA,PG,93.0,1.85,7500000.0,31501218.0,George Clooney,Robert Downey Jr.,Tate Donovan,Alex Borstein,0.0,21000.0,650.0,566.0,22745,0,0.0,84070,526.0,351.0,7.5
2348,Guess Who ,2005.0,Comedy|Romance,English,USA,PG-13,105.0,1.85,35000000.0,67962333.0,Kevin Rodney Sullivan,Bernie Mac,Nicole Sullivan,Sherri Shepherd,8.0,1000.0,358.0,278.0,2689,919,2.0,33887,160.0,104.0,5.9
2349,Hard Candy ,2005.0,Crime|Drama|Thriller,English,USA,R,104.0,2.35,950000.0,1007962.0,David Slade,Odessa Rae,G.J. Echternkamp,Patrick Wilson,171.0,109.0,8.0,0.0,117,12000,0.0,131969,651.0,231.0,7.1
2350,Harry Potter and the Goblet of Fire ,2005.0,Adventure|Family|Fantasy|Mystery,English,UK,PG-13,157.0,2.35,150000000.0,289994397.0,Mike Newell,Robert Pattinson,Daniel Radcliffe,Rupert Grint,179.0,21000.0,11000.0,10000.0,53413,0,1.0,385670,1896.0,295.0,7.6
2351,Harsh Times ,2005.0,Action|Crime|Drama|Thriller,English,USA,R,116.0,1.85,2000000.0,3335839.0,David Ayer,J.K. Simmons,Christian Bale,Noel Gugliemi,453.0,24000.0,23000.0,2000.0,50313,0,2.0,54657,222.0,118.0,7.0
2352,Herbie Fully Loaded ,2005.0,Adventure|Comedy|Family|Fantasy|Romance|Sport,English,USA,G,101.0,1.85,50000000.0,66002004.0,Angela Robinson,Scoot McNairy,Thomas Lennon,Cheryl Hines,23.0,660.0,651.0,541.0,2177,1000,1.0,36431,168.0,117.0,4.7
2353,Hide and Seek ,2005.0,Drama|Horror|Mystery|Thriller,English,USA,R,101.0,2.35,30000000.0,51097664.0,John Polson,Robert De Niro,Dylan Baker,Robert John Burke,21.0,22000.0,812.0,317.0,23328,0,0.0,70205,450.0,180.0,5.9
2354,Hitch ,2005.0,Comedy|Romance,English,USA,PG-13,118.0,2.35,70000000.0,177575142.0,Andy Tennant,Will Smith,Michael Rapaport,Kevin Sussman,72.0,10000.0,975.0,681.0,13426,0,1.0,244840,372.0,171.0,6.6
2355,Hoodwinked! ,2005.0,Action|Animation|Comedy|Crime|Family,English,USA,PG,80.0,1.85,17500000.0,51053787.0,Cory Edwards,Anne Hathaway,Chazz Palminteri,Jim Belushi,19.0,11000.0,979.0,854.0,14385,0,1.0,45900,247.0,142.0,6.5
2356,Hostage ,2005.0,Action|Crime|Drama|Mystery|Thriller,English,USA,R,113.0,2.35,52000000.0,34636443.0,Florent-Emilio Siri,Jimmy Bennett,Bruce Willis,Ransford Doherty,17.0,87000.0,13000.0,759.0,103354,0,0.0,93790,288.0,152.0,6.6
2357,Hostel ,2005.0,Horror,English,USA,R,93.0,2.35,4800000.0,47277326.0,Eli Roth,Jay Hernandez,Takashi Miike,Rick Hoffman,0.0,1000.0,1000.0,581.0,2990,0,0.0,138814,1516.0,303.0,5.9
2358,House of Sand ,2005.0,Drama,Portuguese,Brazil,R,115.0,2.35,8000000.0,,Andrucha Waddington,Fernanda Montenegro,Seu Jorge,Fernanda Torres,6.0,119.0,69.0,24.0,222,385,1.0,2650,35.0,42.0,7.5
2359,House of Wax ,2005.0,Horror,English,Australia,R,108.0,1.85,30000000.0,32048809.0,Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt,174.0,730.0,716.0,324.0,2178,0,0.0,94456,576.0,228.0,5.3
2360,House of Wax ,2005.0,Horror,English,Australia,R,108.0,1.85,30000000.0,32048809.0,Jaume Collet-Serra,Robert Ri'chard,Paris Hilton,Brian Van Holt,174.0,730.0,716.0,324.0,2160,0,0.0,94463,576.0,228.0,5.3
2361,Hustle & Flow ,2005.0,Crime|Drama|Music,English,USA,R,116.0,1.85,8000000.0,22201636.0,Craig Brewer,Isaac Hayes,Paula Jai Parker,Elise Neal,153.0,275.0,247.0,165.0,727,0,1.0,33567,206.0,159.0,7.4
2362,Ice Princess ,2005.0,Comedy|Drama|Family|Sport,English,USA,G,98.0,1.85,,24381334.0,Tim Fywell,Connie Ray,Trevor Blumas,Amy Stewart,3.0,90.0,89.0,28.0,235,901,2.0,19737,81.0,67.0,6.0
2363,Imagine Me & You ,2005.0,Comedy|Drama|Romance,English,UK,R,90.0,2.35,7900000.0,671240.0,Ol Parker,Celia Imrie,Ben Miles,Darren Boyd,21.0,186.0,119.0,112.0,619,0,0.0,23023,149.0,85.0,6.9
2364,Inside Deep Throat ,2005.0,Biography|Documentary|History,English,USA,NC-17,89.0,1.85,2000000.0,653621.0,Fenton Bailey,Hugh M. Hefner,Bill Maher,Linda Lovelace,13.0,373.0,334.0,218.0,1136,592,0.0,5615,64.0,123.0,6.8
2365,Insomnia Manica ,2005.0,Thriller,English,USA,,127.0,1.33,500000.0,,Daston Kalili,Daston Kalili,Rai Alexandra,Chin-Chien Chang,2.0,2.0,0.0,0.0,2,0,0.0,16,3.0,,5.8
2366,Into the Blue ,2005.0,Action|Adventure|Crime|Thriller,English,USA,PG-13,110.0,2.35,50000000.0,18472363.0,John Stockwell,Paul Walker,James Frain,Ashley Scott,134.0,23000.0,1000.0,795.0,25049,0,3.0,63599,208.0,120.0,5.8
2367,Jarhead ,2005.0,Action|Drama|War,English,Germany,R,125.0,2.35,70000000.0,62647540.0,Sam Mendes,Jake Gyllenhaal,Brian Geraghty,James Morrison,0.0,15000.0,383.0,210.0,15850,0,0.0,143525,657.0,262.0,7.1
2368,Joyeux Noel ,2005.0,Drama|History|Music|Romance|War,French,France,PG-13,116.0,2.35,22000000.0,1050445.0,Christian Carion,Gary Lewis,Dany Boon,Ian Richardson,13.0,203.0,172.0,140.0,773,11000,0.0,21394,147.0,115.0,7.8
2369,Just Like Heaven ,2005.0,Comedy|Fantasy|Romance,English,USA,PG-13,95.0,1.85,58000000.0,48291624.0,Mark Waters,Jon Heder,Ivana Milicevic,Willie Garson,70.0,970.0,834.0,512.0,2876,0,1.0,82819,263.0,142.0,6.7
2370,Kicking & Screaming ,2005.0,Comedy|Family|Romance|Sport,English,USA,PG,95.0,2.35,45000000.0,52580895.0,Jesse Dylan,Josh Hutcherson,Will Ferrell,Robert Duvall,58.0,14000.0,8000.0,3000.0,27351,743,1.0,30255,118.0,94.0,5.6
2371,King Kong ,2005.0,Action|Adventure|Drama|Romance,English,New Zealand,PG-13,201.0,2.35,207000000.0,218051260.0,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,0.0,6000.0,919.0,84.0,7123,0,0.0,316018,2618.0,446.0,7.2
2372,King Kong ,2005.0,Action|Adventure|Drama|Romance,English,New Zealand,PG-13,201.0,2.35,207000000.0,218051260.0,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,0.0,6000.0,918.0,84.0,7122,0,0.0,316020,2618.0,446.0,7.2
2373,King Kong ,2005.0,Action|Adventure|Drama|Romance,English,New Zealand,PG-13,201.0,2.35,207000000.0,218051260.0,Peter Jackson,Naomi Watts,Thomas Kretschmann,Evan Parke,0.0,6000.0,918.0,84.0,7122,0,0.0,316027,2618.0,446.0,7.2
2374,Kingdom of Heaven ,2005.0,Action|Adventure|Drama|History|War,English,USA,R,194.0,2.35,130000000.0,47396698.0,Ridley Scott,Liam Neeson,Orlando Bloom,Philip Glenister,0.0,14000.0,5000.0,195.0,19600,0,1.0,217373,942.0,239.0,7.2
2375,King's Ransom ,2005.0,Comedy|Crime,English,USA,PG-13,95.0,1.85,15000000.0,4006906.0,Jeffrey W. Byrd,Donald Faison,Loretta Devine,Regina Hall,2.0,927.0,912.0,807.0,4990,83,7.0,3229,20.0,23.0,4.1
2376,Kiss Kiss Bang Bang ,2005.0,Comedy|Crime|Mystery,English,USA,R,103.0,2.35,15000000.0,4235837.0,Shane Black,Robert Downey Jr.,Corbin Bernsen,Larry Miller,1000.0,21000.0,1000.0,611.0,23932,0,2.0,175962,336.0,223.0,7.6
2377,Lady Vengeance ,2005.0,Crime|Drama,Korean,South Korea,R,112.0,2.35,4200000000.0,211667.0,Chan-wook Park,Min-sik Choi,Yeong-ae Lee,Hye-jeong Kang,0.0,717.0,126.0,38.0,907,4000,0.0,53508,131.0,202.0,7.7
2378,Land of the Dead ,2005.0,Horror,English,Canada,R,97.0,2.35,15000000.0,20433940.0,George A. Romero,Tony Nappo,Shawn Roberts,Pedro Miguel Arce,0.0,654.0,529.0,233.0,1876,0,8.0,78883,662.0,252.0,6.2
2379,London ,2005.0,Drama|Romance,English,UK,R,92.0,2.35,14000.0,12667.0,Hunter Richards,Jason Statham,Chris Evans,Dane Cook,11.0,26000.0,11000.0,1000.0,39518,0,2.0,19336,90.0,34.0,6.6
2380,Lonesome Jim ,2005.0,Comedy|Drama,English,USA,R,91.0,1.85,500000.0,154077.0,Steve Buscemi,Kevin Corrigan,Seymour Cassel,Mary Kay Place,12000.0,778.0,327.0,213.0,1440,238,0.0,6884,53.0,81.0,6.6
2381,Lord of War ,2005.0,Crime|Drama|Thriller,English,USA,R,122.0,2.35,50000000.0,24127895.0,Andrew Niccol,Nicolas Cage,Jeremy Crutchley,Jared Burke,487.0,12000.0,43.0,16.0,12076,10000,2.0,248123,437.0,168.0,7.6
2382,Lords of Dogtown ,2005.0,Biography|Drama|Sport,English,USA,PG-13,107.0,1.85,25000000.0,11008432.0,Catherine Hardwicke,Heath Ledger,Michael Angarano,Rebecca De Mornay,308.0,13000.0,947.0,872.0,16651,5000,0.0,43903,194.0,119.0,7.1
2383,Mad Hot Ballroom ,2005.0,Documentary|Family|Music,English,USA,PG,105.0,1.85,,8044906.0,Marilyn Agrelo,Heather Berman,Eva Carrozza,Paul Daggett,2.0,0.0,0.0,0.0,0,588,2.0,3156,65.0,84.0,7.5
2384,Madagascar ,2005.0,Adventure|Animation|Comedy|Family,English,USA,PG,86.0,1.85,75000000.0,193136719.0,Eric Darnell,Jada Pinkett Smith,Cedric the Entertainer,Andy Richter,35.0,851.0,436.0,179.0,1777,0,0.0,266636,385.0,181.0,6.9
2385,Man of the House ,2005.0,Action|Comedy,English,USA,PG-13,100.0,2.35,40000000.0,19118247.0,Stephen Herek,Christina Milian,Vanessa Ferlito,Kelli Garner,65.0,1000.0,923.0,730.0,6171,779,5.0,19829,94.0,59.0,5.4
2386,Manderlay ,2005.0,Drama,English,Denmark,Not Rated,139.0,2.35,14200000.0,74205.0,Lars von Trier,Bryce Dallas Howard,Jeremy Davies,Jean-Marc Barr,3000.0,3000.0,769.0,236.0,4211,1000,1.0,18646,81.0,140.0,7.4
2387,March of the Penguins ,2005.0,Documentary,French,France,G,80.0,1.85,8000000.0,77413017.0,Luc Jacquet,Morgan Freeman,Sofie Gråbøl,Romane Bohringer,10.0,11000.0,108.0,34.0,11218,0,0.0,45984,331.0,169.0,7.6
2388,Match Point ,2005.0,Drama|Romance|Thriller,English,UK,R,119.0,1.85,15000000.0,23089926.0,Woody Allen,Scarlett Johansson,Mark Gatiss,Penelope Wilton,11000.0,19000.0,567.0,400.0,20391,0,3.0,166269,735.0,278.0,7.7
2389,Me and You and Everyone We Know ,2005.0,Comedy|Drama,English,USA,R,91.0,1.85,2000000.0,3885134.0,Miranda July,Najarra Townsend,Brad William Henke,Miranda July,244.0,538.0,363.0,244.0,1349,0,0.0,31130,243.0,151.0,7.4
2390,Memoirs of a Geisha ,2005.0,Drama|Romance,English,USA,PG-13,145.0,2.35,85000000.0,57010853.0,Rob Marshall,Li Gong,Mako,Karl Yune,252.0,879.0,691.0,210.0,2380,0,1.0,119286,548.0,229.0,7.3
2391,Mirrormask ,2005.0,Adventure|Fantasy,English,UK,PG,101.0,1.85,4000000.0,864959.0,Dave McKean,Stephanie Leonidas,Gina McKee,Rob Brydon,21.0,420.0,291.0,161.0,1215,0,0.0,20275,151.0,116.0,6.9
2392,Miss Congeniality 2: Armed and Fabulous ,2005.0,Action|Comedy|Crime,English,USA,PG-13,115.0,2.35,45000000.0,48472213.0,John Pasquin,Eileen Brennan,Diedrich Bader,Treat Williams,11.0,1000.0,759.0,642.0,4305,621,2.0,51252,156.0,111.0,5.0
2393,Monster-in-Law ,2005.0,Comedy|Romance,English,Germany,PG-13,101.0,2.35,60000000.0,82931301.0,Robert Luketic,Adam Scott,Jane Fonda,Elaine Stritch,126.0,3000.0,949.0,586.0,6292,0,0.0,43358,228.0,132.0,5.5
2394,Mr. & Mrs. Smith ,2005.0,Action|Comedy|Crime|Romance|Thriller,English,USA,PG-13,126.0,2.35,120000000.0,186336103.0,Doug Liman,Brad Pitt,Angelina Jolie Pitt,Stephanie March,218.0,11000.0,11000.0,322.0,22722,0,2.0,348861,798.0,233.0,6.5
2395,Mrs Henderson Presents ,2005.0,Comedy|Drama|Music|War,English,UK,R,103.0,1.85,20000000.0,11034436.0,Stephen Frears,Bob Hoskins,Christopher Guest,Sarah Solemani,350.0,5000.0,378.0,99.0,5637,0,1.0,13505,180.0,137.0,7.1
2396,Munich ,2005.0,Drama|History|Thriller,English,France,R,163.0,2.35,70000000.0,47379090.0,Steven Spielberg,Ayelet Zurer,Moritz Bleibtreu,Mathieu Amalric,14000.0,745.0,486.0,412.0,2529,0,0.0,176936,824.0,298.0,7.6
2397,Murderball ,2005.0,Documentary|Sport,English,USA,R,88.0,1.85,1750211.0,1523883.0,Henry Alex Rubin,Mark Zupan,Joe Bishop,Andy Cohn,30.0,15.0,0.0,0.0,15,0,1.0,9037,70.0,110.0,7.8
2398,Must Love Dogs ,2005.0,Comedy|Romance,English,USA,PG-13,98.0,2.35,30000000.0,43894863.0,Gary David Goldberg,Stockard Channing,Victor Webster,Elizabeth Perkins,30.0,944.0,940.0,664.0,4879,0,2.0,25883,262.0,120.0,5.9
2399,Mutual Appreciation ,2005.0,Comedy,English,USA,R,109.0,1.66,,,Andrew Bujalski,Andrew Bujalski,Kate Dollenmayer,Justin Rice,26.0,26.0,6.0,3.0,38,91,0.0,1578,23.0,52.0,6.9
2400,My Big Fat Independent Movie ,2005.0,Comedy,English,USA,R,80.0,1.78,3000000.0,,Philip Zlotorynski,Neil Hopkins,Darren Keefe Reiher,David Douglas,0.0,231.0,27.0,19.0,313,48,1.0,1257,24.0,14.0,3.3
2401,Nanny McPhee ,2005.0,Comedy|Family|Fantasy,English,USA,PG,97.0,2.35,25000000.0,47124400.0,Kirk Jones,Colin Firth,Kelly Macdonald,Imelda Staunton,52.0,14000.0,2000.0,579.0,17278,0,0.0,49676,181.0,128.0,6.6
2402,Neal 'N' Nikki ,2005.0,Comedy|Musical|Romance,English,India,,97.0,2.35,1500000.0,100358.0,Arjun Sablok,Abhishek Bachchan,Uday Chopra,Samantha McLeod,0.0,374.0,145.0,40.0,602,66,2.0,1167,24.0,5.0,3.3
2403,Nomad: The Warrior ,2005.0,Drama|History|War,Kazakh,France,R,112.0,2.35,25000000.0,77231.0,Sergey Bodrov,Jay Hernandez,Kuno Becker,Jason Scott Lee,44.0,1000.0,580.0,533.0,2115,265,0.0,3322,32.0,30.0,6.0
2404,North Country ,2005.0,Drama,English,USA,R,126.0,2.35,35000000.0,18324242.0,Niki Caro,Jeremy Renner,Charlize Theron,Sissy Spacek,51.0,10000.0,9000.0,874.0,20563,0,4.0,32815,214.0,155.0,7.3
2405,Oliver Twist ,2005.0,Crime|Drama,English,UK,PG-13,130.0,2.35,50000000.0,1987287.0,Roman Polanski,Ian McNeice,Barney Clark,Tony Noble,2000.0,268.0,85.0,25.0,450,0,0.0,25474,138.0,127.0,6.9
2406,Pooh's Heffalump Movie ,2005.0,Animation|Family|Fantasy|Mystery,English,USA,G,68.0,1.85,20000000.0,18081626.0,Frank Nissen,Kath Soucie,Brenda Blethyn,John Fiedler,0.0,304.0,286.0,253.0,861,264,0.0,4180,32.0,45.0,6.4
2407,Pride & Prejudice ,2005.0,Drama|Romance,English,France,PG,135.0,2.35,28000000.0,38372662.0,Joe Wright,Talulah Riley,Brenda Blethyn,Simon Woods,456.0,422.0,286.0,241.0,1083,17000,2.0,193455,1058.0,177.0,7.8
2408,Racing Stripes ,2005.0,Adventure|Comedy|Drama|Family|Sport,English,USA,PG,102.0,1.85,,49186871.0,Frederik Du Chau,Bruce Greenwood,Frankie Muniz,M. Emmet Walsh,7.0,984.0,934.0,521.0,2910,771,0.0,12570,86.0,73.0,5.2
2409,Red Eye ,2005.0,Mystery|Thriller,English,USA,PG-13,85.0,2.35,26000000.0,57859105.0,Wes Craven,Robert Pine,Carl Gilliard,Suzie Plakson,0.0,332.0,285.0,178.0,1090,0,0.0,94108,673.0,224.0,6.5
2410,Rent ,2005.0,Drama|Musical|Romance,English,USA,PG-13,135.0,2.35,40000000.0,29077547.0,Chris Columbus,Rosario Dawson,David Fine,Jesse L. Martin,0.0,3000.0,1000.0,715.0,5917,3000,1.0,41685,754.0,146.0,7.0
2411,Rize ,2005.0,Documentary|Music,English,USA,PG-13,86.0,1.33,,3278611.0,David LaChapelle,Kevin Scott Richardson,Christopher Toler,Tommy the Clown,30.0,262.0,23.0,14.0,321,903,0.0,2877,46.0,49.0,7.1
2412,Robots ,2005.0,Adventure|Animation|Comedy|Family|Sci-Fi,English,USA,PG,91.0,1.85,75000000.0,128200012.0,Chris Wedge,Jim Broadbent,Drew Carey,Paula Abdul,77.0,1000.0,311.0,208.0,1804,0,1.0,103022,269.0,163.0,6.3
2413,Roll Bounce ,2005.0,Comedy|Drama|Music|Romance,English,USA,PG-13,112.0,2.35,,17378977.0,Malcolm D. Lee,Jurnee Smollett-Bell,Brandon T. Jackson,Shad Moss,92.0,2000.0,918.0,826.0,7552,997,0.0,5585,75.0,55.0,6.0
2414,Romance & Cigarettes ,2005.0,Comedy|Musical|Romance,English,USA,R,105.0,2.35,,540085.0,John Turturro,Kate Winslet,Steve Buscemi,Eddie Izzard,0.0,14000.0,12000.0,776.0,28004,0,0.0,10052,69.0,87.0,6.3
2415,Sahara ,2005.0,Action|Adventure|Comedy|Thriller,English,UK,PG-13,124.0,2.35,130000000.0,68642452.0,Breck Eisner,Matthew McConaughey,Rainn Wilson,Delroy Lindo,42.0,11000.0,973.0,848.0,13073,0,3.0,77673,463.0,163.0,6.0
2416,Saw II ,2005.0,Horror|Mystery,English,USA,R,95.0,1.85,4000000.0,87025093.0,Darren Lynn Bousman,Emmanuelle Vaugier,Tony Nappo,Shawnee Smith,163.0,1000.0,654.0,651.0,4134,0,0.0,188679,864.0,250.0,6.6
2417,Serenity ,2005.0,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,119.0,2.35,40000000.0,25335935.0,Joss Whedon,Adam Baldwin,Sean Maher,Michael Hitchcock,0.0,2000.0,505.0,279.0,2853,14000,0.0,242599,1594.0,276.0,8.0
2418,Shopgirl ,2005.0,Drama|Romance,English,USA,R,106.0,2.35,,10281585.0,Anand Tucker,Frances Conroy,Bridgette Wilson-Sampras,Clyde Kusatsu,14.0,827.0,545.0,161.0,1871,1000,3.0,21225,268.0,124.0,6.4
2419,Sin City ,2005.0,Crime|Thriller,English,USA,R,147.0,1.85,40000000.0,74098862.0,Frank Miller,Rosario Dawson,Powers Boothe,Jason Douglas,436.0,3000.0,472.0,175.0,3924,13000,1.0,656640,1732.0,374.0,8.1
2420,Sisters in Law ,2005.0,Documentary,English,Cameroon,Not Rated,104.0,,,32631.0,Florence Ayisi,Vera Ngassa,Beatrice Ntuba,,0.0,2.0,0.0,,2,50,1.0,291,8.0,27.0,7.5
2421,Sky High ,2005.0,Adventure|Comedy|Family|Sci-Fi,English,USA,PG,100.0,2.35,35000000.0,63939454.0,Mike Mitchell,Michael Angarano,Kelly Preston,Nicholas Braun,31.0,947.0,742.0,591.0,2968,0,3.0,61321,217.0,127.0,6.2
2422,Slow Burn ,2005.0,Drama|Mystery|Thriller,English,USA,R,93.0,1.85,15500000.0,1181197.0,Wayne Beach,Mekhi Phifer,LL Cool J,Fisher Stevens,7.0,1000.0,1000.0,922.0,4329,191,0.0,3299,24.0,40.0,5.9
2423,Son of the Mask ,2005.0,Comedy|Family|Fantasy,English,USA,PG,94.0,1.85,84000000.0,17010646.0,Lawrence Guterman,Jamie Kennedy,Traylor Howard,Ben Stein,6.0,490.0,294.0,227.0,1195,881,0.0,40751,239.0,78.0,2.2
2424,Star Wars: Episode III - Revenge of the Sith ,2005.0,Action|Adventure|Fantasy|Sci-Fi,English,USA,PG-13,140.0,2.35,113000000.0,380262555.0,George Lucas,Natalie Portman,Christopher Lee,Hayden Christensen,0.0,20000.0,16000.0,4000.0,44042,10000,4.0,520104,3286.0,359.0,7.6
2425,Stealth ,2005.0,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,121.0,2.35,135000000.0,31704416.0,Rob Cohen,Sam Shepard,Joe Morton,Richard Roxburgh,357.0,820.0,780.0,653.0,2705,0,0.0,45455,388.0,145.0,5.0
2426,Supercross ,2005.0,Action|Drama|Romance|Sport,English,USA,PG-13,80.0,1.85,,3101301.0,Steve Boyum,Channing Tatum,Mike Vogel,Steve Howey,9.0,17000.0,2000.0,826.0,21519,353,1.0,3926,38.0,41.0,4.0
2427,Syriana ,2005.0,Drama|Thriller,English,USA,R,128.0,2.35,50000000.0,50815288.0,Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,79.0,13000.0,903.0,414.0,14747,0,0.0,109188,625.0,358.0,7.0
2428,Syriana ,2005.0,Drama|Thriller,English,USA,R,128.0,2.35,50000000.0,50815288.0,Stephen Gaghan,Matt Damon,Amr Waked,Kayvan Novak,79.0,13000.0,903.0,414.0,14747,0,0.0,109191,625.0,358.0,7.0
2429,Thank You for Smoking ,2005.0,Comedy|Drama,English,USA,R,92.0,2.35,6500000.0,24792061.0,Jason Reitman,J.K. Simmons,Cameron Bright,Todd Louiso,655.0,24000.0,829.0,88.0,25092,0,0.0,191998,323.0,239.0,7.6
2430,The 40-Year-Old Virgin ,2005.0,Comedy|Romance,English,USA,R,133.0,1.85,26000000.0,109243478.0,Judd Apatow,Steve Carell,Romany Malco,Gerry Bednob,0.0,7000.0,966.0,218.0,8341,0,1.0,313797,546.0,217.0,7.1
2431,The Adventures of Sharkboy and Lavagirl 3-D ,2005.0,Action|Adventure|Family|Fantasy,English,USA,PG,93.0,1.85,50000000.0,39177541.0,Robert Rodriguez,Taylor Lautner,Kristin Davis,Taylor Dooley,0.0,12000.0,722.0,717.0,14899,0,1.0,20310,177.0,66.0,3.5
